PREF_CODE,POPT06,POPJ06,HD06,HD06.M.SMR,HD06.F.SMR
1,5601 ,5585 ,8216 ,105.4 ,100.0 
2,1423 ,1419 ,2429 ,126.0 ,108.4 
3,1375 ,1370 ,2491 ,115.7 ,105.6 
4,2355 ,2343 ,3163 ,101.4 ,98.6 
5,1134 ,1130 ,2002 ,102.0 ,97.2 
6,1208 ,1201 ,2090 ,104.7 ,92.0 
7,2080 ,2070 ,3564 ,114.3 ,104.8 
8,2972 ,2934 ,4287 ,108.1 ,107.1 
9,2015 ,1988 ,2968 ,114.7 ,105.2 
10,2021 ,1985 ,2885 ,100.5 ,98.6 
11,7071 ,6989 ,8367 ,114.4 ,111.3 
12,6074 ,5999 ,7635 ,110.6 ,110.2 
13,12659 ,12405 ,14789 ,95.6 ,99.0 
14,8830 ,8710 ,8926 ,93.0 ,92.1 
15,2418 ,2408 ,3641 ,93.3 ,86.6 
16,1110 ,1098 ,1539 ,84.0 ,86.0 
17,1172 ,1163 ,1684 ,99.2 ,94.8 
18,819 ,808 ,1317 ,103.9 ,95.2 
19,880 ,867 ,1338 ,99.9 ,94.9 
20,2189 ,2154 ,3384 ,89.9 ,91.0 
21,2105 ,2064 ,3280 ,106.8 ,112.3 
22,3797 ,3719 ,4929 ,90.0 ,95.6 
23,7308 ,7136 ,8294 ,98.0 ,105.0 
24,1873 ,1832 ,2792 ,103.9 ,102.3 
25,1389 ,1363 ,1653 ,88.5 ,101.4 
26,2643 ,2598 ,3805 ,102.5 ,107.8 
27,8815 ,8642 ,10709 ,99.5 ,108.1 
28,5590 ,5506 ,7259 ,94.8 ,101.3 
29,1416 ,1407 ,2140 ,112.5 ,112.1 
30,1028 ,1023 ,1870 ,117.5 ,104.2 
31,604 ,600 ,1018 ,97.1 ,98.1 
32,737 ,732 ,1342 ,93.0 ,91.8 
33,1955 ,1938 ,2932 ,91.8 ,98.8 
34,2875 ,2846 ,4212 ,96.4 ,101.7 
35,1483 ,1471 ,2688 ,106.7 ,102.2 
36,805 ,801 ,1360 ,100.1 ,99.5 
37,1009 ,1003 ,1704 ,104.0 ,100.5 
38,1460 ,1453 ,2905 ,125.3 ,113.8 
39,789 ,787 ,1472 ,97.7 ,101.6 
40,5054 ,5015 ,5486 ,79.1 ,81.6 
41,863 ,859 ,1215 ,89.7 ,86.1 
42,1466 ,1461 ,2354 ,99.3 ,96.8 
43,1836 ,1829 ,2814 ,92.3 ,91.4 
44,1206 ,1199 ,1858 ,91.9 ,91.9 
45,1148 ,1145 ,1827 ,92.1 ,103.3 
46,1743 ,1738 ,2907 ,93.1 ,98.6 
47,1368 ,1361 ,1295 ,87.8 ,85.5 
