PREF_CODE,geriatric,malignant,diabetes,hypertensive
1,550.6,287.8,12.8,2.9
2,637.3,306,13.3,3.8
3,656.4,297.3,11.6,5.1
4,513.9,251.4,10.3,4.8
5,688.1,337.9,12.2,3.4
6,658.7,312.1,11.1,4.5
7,613.7,278.7,13.1,4.3
8,542,257.1,13,4.8
9,553.1,251.2,11.2,4.8
10,561.4,261.6,12,7.3
11,433.3,218.4,9.3,2.9
12,456.3,226.8,10.6,4.7
13,469.6,242.3,10.4,4.8
14,412.3,219.7,7.8,2.4
15,628.4,307.7,12.3,7.1
16,579.9,289.8,14.5,4.9
17,539.3,266,11,4.5
18,562,276.8,12.1,4.3
19,577.6,271.8,12.5,4.3
20,595,267.9,9.8,5.9
21,538.1,255.8,9.9,3.6
22,512.6,245.2,11.8,5.7
23,447.4,224.6,8.3,2.9
24,547.1,252.8,13.5,4.8
25,451.7,231.8,9.1,4.2
26,515.4,259.5,8.4,3.7
27,484.5,264.2,10.4,6.5
28,505.1,268.9,12.4,3.8
29,520,266.6,8.4,3.5
30,643.3,317,12.2,5.2
31,625.1,299,12.3,5.3
32,677.3,334.9,11.7,7.3
33,545.9,256.1,11.5,3.7
34,530.2,266.3,10.8,4.3
35,663.9,324.7,11.2,5.5
36,610.1,285.6,18,7.7
37,586,282.8,14.3,5.2
38,633,289.9,12.3,4.5
39,683.5,318.2,11,5
40,494.9,274.7,10.1,7.8
41,594.9,314,11.2,8.7
42,608.6,314.3,8.7,5.9
43,560.9,274,10.6,5.7
44,592.8,278.2,15.2,6.2
45,571.1,270.7,12,5.1
46,627,288.8,13.6,5.8
47,351.9,185.8,11.4,3.2
