OBJECTID,Easting,Northing,pop,n.birth,r.birth
576,-23317.9512,-10014.9478,83048,714 ,8.6
577,-19659.4638,-6739.4263,134695,1451 ,10.8
578,-18889.8339,-10328.3059,107602,910 ,8.5
579,-15073.7348,-8097.7771,153537,1216 ,7.9
580,-18864.5239,-13151.7828,91552,969 ,10.6
581,-20427.7673,-15486.5932,92105,857 ,9.3
582,-16273.367,-14051.4277,142973,1194 ,8.4
583,-15651.2782,-17035.9952,168747,1714 ,10.2
584,-11924.5009,-12776.6147,106419,1036 ,9.7
585,-10832.2814,-6149.9692,111740,824 ,7.4
586,-31970.9548,-9769.9789,334116,2768 ,8.3
587,-40907.2665,18672.0816,191015,1460 ,7.6
588,-9118.8848,-18404.1717,486062,4787 ,9.8
589,-32709.7421,16504.6993,88144,711 ,8.1
590,-81189.3342,-4100.3533,69838,508 ,7.3
591,-33925.4304,-22168.5906,337277,3035 ,9
592,-55360.5071,-12238.0488,84268,546 ,6.5
593,-20158.5977,14781.2093,67581,474 ,7
594,-61801.7404,22313.9836,81796,652 ,8
595,-39800.0716,3622.9404,90883,639 ,7
596,-5181.847,-1919.6208,237566,1868 ,7.9
597,-37248.1798,-15592.9773,157373,1224 ,7.8
598,-25198.1353,19181.3971,56694,364 ,6.4
599,-29710.0922,8822.0133,119703,871 ,7.3
600,-51084.9317,20178.4711,146447,1349 ,9.2
601,-22676.7012,-3233.8417,221330,2038 ,9.2
602,-2790.5404,-17914.1559,237112,2293 ,9.7
603,-3878.2731,-11000.7588,316737,2790 ,8.8
604,-13277.6816,-19429.847,69916,536 ,7.7
605,-15977.8797,-20521.2407,117455,1442 ,12.3
606,-42087.5205,-20094.9269,148343,1174 ,7.9
607,-8651.2496,-19249.8036,59183,572 ,9.7
608,-21343.4777,-21123.877,125073,1421 ,11.4
609,-22592.476,-18089.0518,67963,602 ,8.9
610,-19294.2959,-23361.4164,77687,867 ,11.2
611,-24750.283,-23398.1154,154094,1347 ,8.7
612,-25531.768,394.6916,74251,605 ,8.1
613,-15331.8848,7058.7608,72087,506 ,7
614,-27316.774,2935.9121,70078,629 ,9
615,593.823,-20045.5618,76927,695 ,9
616,-25145.6954,-16085.0796,104751,1002 ,9.6
617,3479.0167,-18631.4321,129244,1059 ,8.2
618,-16552.7818,222.2898,63398,508 ,8
619,-39057.5135,-3943.914,99406,831 ,8.4
620,-8421.5822,7857.1999,53859,360 ,6.7
621,-39618.3929,-7033.4868,70310,720 ,10.2
622,-44609.8855,-11360.1557,54397,395 ,7.3
623,2519.7212,-11658.0725,61321,605 ,9.9
624,-28716.3131,-14936.518,102847,954 ,9.3
625,-19245.5157,-181.6568,37837,467 ,12.3
626,-28661.2444,-18493.041,37380,343 ,9.2
627,-47411.7061,-7053.1972,39297,245 ,6.2
628,-51134.2411,-4205.6617,13139,86 ,6.5
629,-43025.2939,7879.9454,15921,213 ,13.4
630,-46710.8756,6399.8032,19588,146 ,7.5
631,-52652.8705,6239.9627,34836,175 ,5
632,-31495.1362,-1736.6283,22725,126 ,5.5
633,-34043.3852,5006.0067,22102,111 ,5
634,-45036.123,-1235.6758,15948,74 ,4.6
635,-53364.4405,52.5337,13176,61 ,4.6
636,-63503.6503,-3210.2795,9569,61 ,6.4
637,-66851.5494,8968.7161,11347,64 ,5.6
638,-64492.0879,13286.384,8270,42 ,5.1
639,-81493.0177,2767.994,14367,105 ,7.3
640,-58696.2213,5313.3134,3729,11 ,2.9
641,-59305.5862,19272.1274,11997,68 ,5.7
642,-69748.0508,18156.3567,14975,104 ,6.9
643,-62769.2396,28047.0156,31067,278 ,8.9
644,-44756.9273,13141.5904,13546,57 ,4.2
645,-56777.8116,12530.0066,36868,257 ,7
646,-23636.3686,11028.6788,19866,116 ,5.8
647,-15020.7539,20683.0658,13226,64 ,4.8
648,-15297.0061,16227.6741,14439,80 ,5.5
649,-10502.515,2511.3738,34575,215 ,6.2
650,-14920.9237,2702.5054,48707,404 ,8.3
651,-21212.3926,6390.661,21224,108 ,5.1
652,-12168.7643,13193.4327,27097,192 ,7.1
653,-14596.1187,10334.6909,34400,309 ,9
654,-7047.6767,3772.5831,46698,312 ,6.7
655,-687.2672,-7028.2515,30939,215 ,6.9
