ID,Hospital,Doctors,Pop,TrAcc,Popd,Pop65r,Emp3r,IncP
1100,191 ,5682 ,1880863 ,10000 ,16.7766 ,0.1730 ,0.8689,1.3579
1202,32 ,797 ,294264 ,1523 ,4.3409 ,0.2394 ,0.8452,1.1173
1203,15 ,341 ,142161 ,540 ,5.8430 ,0.2742 ,0.7892,1.0415
1204,38 ,1221 ,355004 ,1749 ,4.7486 ,0.2219 ,0.8259,1.1288
1205,6 ,292 ,98372 ,347 ,12.1974 ,0.2569 ,0.7236,1.1881
1206,16 ,352 ,190478 ,658 ,1.3977 ,0.2118 ,0.8228,1.1357
1207,17 ,419 ,170580 ,790 ,2.7560 ,0.1897 ,0.8248,1.2491
1208,12 ,241 ,129365 ,511 ,0.9062 ,0.2163 ,0.8026,1.1432
1209,1 ,8 ,13001 ,29 ,0.1703 ,0.3969 ,0.7591,0.8675
1210,5 ,169 ,93677 ,316 ,1.9471 ,0.2406 ,0.8180,1.0758
1211,4 ,73 ,42045 ,125 ,0.8927 ,0.2002 ,0.7739,1.2672
1212,2 ,55 ,26826 ,65 ,0.9019 ,0.2319 ,0.7461,1.1729
1213,13 ,306 ,172758 ,970 ,3.0768 ,0.1808 ,0.7492,1.2359
1214,3 ,51 ,41592 ,78 ,0.5467 ,0.2075 ,0.7510,1.3001
1215,4 ,60 ,29083 ,64 ,1.0476 ,0.2880 ,0.7538,0.8717
1216,2 ,33 ,18899 ,31 ,0.2185 ,0.3399 ,0.7070,0.8168
1217,5 ,137 ,125601 ,496 ,6.6962 ,0.1790 ,0.7852,1.1370
1218,2 ,29 ,14401 ,27 ,1.1088 ,0.3464 ,0.6576,0.8219
1219,5 ,38 ,26632 ,68 ,0.3206 ,0.2476 ,0.7163,1.1012
1220,1 ,32 ,23411 ,46 ,0.2092 ,0.2889 ,0.7379,0.9702
1221,4 ,72 ,31628 ,57 ,0.5909 ,0.2491 ,0.8447,1.0915
1222,2 ,25 ,11927 ,31 ,0.3941 ,0.3831 ,0.6723,0.8235
1223,1 ,28 ,31202 ,49 ,0.7561 ,0.2251 ,0.7016,1.1438
1224,6 ,129 ,91437 ,472 ,1.5369 ,0.1472 ,0.8315,1.3429
1225,5 ,82 ,45562 ,168 ,3.9339 ,0.2394 ,0.8306,1.0606
1226,1 ,76 ,20068 ,103 ,2.5503 ,0.2798 ,0.7403,1.0589
1227,1 ,5 ,5221 ,3 ,0.9325 ,0.3679 ,0.7822,0.7853
1228,3 ,69 ,25838 ,79 ,0.4882 ,0.3059 ,0.8161,0.9563
1229,2 ,44 ,25076 ,59 ,0.4173 ,0.2460 ,0.7627,1.0573
1230,6 ,58 ,53135 ,215 ,2.5051 ,0.2459 ,0.8155,1.1300
1231,4 ,116 ,67614 ,289 ,2.2930 ,0.1752 ,0.7320,1.2472
1233,4 ,73 ,37066 ,141 ,0.8343 ,0.2702 ,0.8104,1.0905
1234,5 ,59 ,60677 ,276 ,5.1187 ,0.1818 ,0.7779,1.2455
1235,5 ,67 ,60104 ,259 ,0.8326 ,0.1928 ,0.7137,1.1145
1236,0 ,26 ,48056 ,182 ,1.2096 ,0.1967 ,0.7146,0.9902
1303,1 ,25 ,19982 ,59 ,0.4727 ,0.2028 ,0.7076,0.9990
1304,0 ,1 ,3737 ,13 ,0.4776 ,0.2697 ,0.7477,0.8215
1331,1 ,9 ,10121 ,14 ,0.3453 ,0.3150 ,0.5971,0.8573
1332,0 ,2 ,5897 ,10 ,0.3150 ,0.3110 ,0.5854,0.7975
1333,0 ,2 ,5447 ,6 ,0.2770 ,0.2669 ,0.5672,0.8612
1334,1 ,10 ,6024 ,14 ,0.2715 ,0.3357 ,0.7464,0.8230
1337,2 ,31 ,28424 ,84 ,1.3122 ,0.2436 ,0.7372,1.0294
1343,0 ,3 ,4919 ,0 ,0.4447 ,0.2271 ,0.6236,0.8733
1345,2 ,21 ,19149 ,71 ,0.5200 ,0.2570 ,0.6252,0.8680
1346,3 ,36 ,20131 ,57 ,0.2106 ,0.2418 ,0.7540,1.0715
1347,1 ,5 ,7003 ,18 ,0.2253 ,0.3363 ,0.7329,0.8611
1361,2 ,28 ,10131 ,23 ,0.9244 ,0.2644 ,0.8166,1.0750
1362,0 ,3 ,6417 ,3 ,0.1172 ,0.2942 ,0.5665,0.8323
1363,1 ,2 ,4775 ,12 ,0.1037 ,0.3177 ,0.6970,0.8787
1364,1 ,3 ,4816 ,5 ,0.2963 ,0.3005 ,0.6141,0.9014
1367,1 ,4 ,3643 ,1 ,0.2548 ,0.2742 ,0.7946,1.1466
1370,1 ,6 ,6466 ,7 ,0.1138 ,0.3008 ,0.7609,0.8876
1371,3 ,10 ,10748 ,6 ,0.1683 ,0.3345 ,0.7537,0.7915
1391,0 ,2 ,1996 ,3 ,0.0456 ,0.3522 ,0.6847,0.7901
1392,0 ,6 ,3744 ,10 ,0.3926 ,0.3235 ,0.6378,1.0131
1393,1 ,4 ,3457 ,7 ,0.1001 ,0.3141 ,0.7610,0.8878
1394,1 ,4 ,5802 ,6 ,0.1290 ,0.3027 ,0.7238,0.8366
1395,0 ,2 ,4669 ,13 ,0.2368 ,0.2480 ,0.9049,0.8914
1396,0 ,2 ,2354 ,6 ,0.2057 ,0.2744 ,0.8126,1.0969
1397,0 ,1 ,2165 ,3 ,0.1805 ,0.2236 ,0.8652,1.0868
1398,1 ,2 ,2707 ,30 ,0.1428 ,0.2959 ,0.7463,0.8356
1399,1 ,6 ,3583 ,16 ,0.1547 ,0.2875 ,0.7509,1.0335
1400,1 ,37 ,16176 ,31 ,0.6192 ,0.1972 ,0.8569,1.1913
1401,0 ,4 ,7112 ,30 ,0.2332 ,0.2448 ,0.6710,1.0751
1402,1 ,23 ,15744 ,36 ,2.2291 ,0.2642 ,0.6793,1.0034
1403,0 ,1 ,2185 ,1 ,0.2653 ,0.3185 ,0.6547,0.9410
1404,0 ,2 ,1319 ,1 ,0.0893 ,0.3897 ,0.8995,0.7923
1405,0 ,2 ,2860 ,4 ,0.1201 ,0.3738 ,0.8754,0.7199
1406,0 ,2 ,4021 ,3 ,0.2134 ,0.3268 ,0.5310,0.8045
1407,0 ,1 ,3967 ,11 ,0.2362 ,0.3073 ,0.8222,0.7220
1408,2 ,33 ,22734 ,67 ,1.6169 ,0.2813 ,0.7937,0.9298
1409,0 ,1 ,1310 ,1 ,0.0468 ,0.2565 ,0.8421,0.8542
1423,1 ,6 ,9564 ,34 ,1.1736 ,0.2015 ,0.6448,0.9969
1424,1 ,9 ,6836 ,22 ,0.7764 ,0.3065 ,0.4998,0.9032
1425,0 ,2 ,4770 ,9 ,1.1952 ,0.3784 ,0.6100,0.6059
1427,1 ,4 ,6477 ,30 ,0.4839 ,0.3035 ,0.6888,0.7917
1428,1 ,14 ,12401 ,54 ,0.7366 ,0.2608 ,0.7749,1.0407
1429,1 ,21 ,14352 ,31 ,0.7041 ,0.2891 ,0.6733,0.9351
1430,1 ,5 ,4785 ,14 ,0.3168 ,0.2855 ,0.8186,0.7776
1431,0 ,1 ,2417 ,6 ,0.2391 ,0.3364 ,0.5519,1.4034
1432,1 ,6 ,7684 ,18 ,0.1550 ,0.2937 ,0.7860,0.9425
1433,0 ,3 ,3943 ,8 ,0.8122 ,0.3208 ,0.5791,0.8248
1434,0 ,1 ,3003 ,7 ,0.6354 ,0.3370 ,0.6415,0.8868
1436,1 ,4 ,3316 ,4 ,0.1737 ,0.3067 ,0.8336,0.8013
1437,0 ,1 ,2376 ,10 ,0.1496 ,0.3287 ,0.5852,0.7433
1438,1 ,2 ,4041 ,4 ,0.1427 ,0.3180 ,0.6876,0.9889
1439,1 ,3 ,1952 ,6 ,0.0254 ,0.3268 ,0.7477,0.9682
1452,0 ,2 ,7261 ,15 ,0.5207 ,0.2509 ,0.6850,1.0220
1453,0 ,7 ,9194 ,19 ,1.3395 ,0.1957 ,0.7439,1.1590
1454,0 ,4 ,7473 ,18 ,0.3646 ,0.3165 ,0.6457,0.8844
1455,0 ,2 ,4340 ,20 ,0.4972 ,0.3251 ,0.7134,0.8514
1456,0 ,1 ,3739 ,10 ,0.1497 ,0.3354 ,0.6664,0.8334
1457,1 ,4 ,5176 ,28 ,0.0493 ,0.3155 ,0.7991,0.8348
1458,0 ,3 ,7701 ,21 ,0.3117 ,0.2545 ,0.6026,0.9848
1459,1 ,8 ,11628 ,46 ,0.1717 ,0.3056 ,0.7495,0.9017
1460,1 ,8 ,12352 ,23 ,0.5208 ,0.2213 ,0.8181,1.0910
1461,1 ,2 ,5707 ,20 ,0.5250 ,0.2765 ,0.8020,0.9888
1462,0 ,3 ,2947 ,7 ,0.0443 ,0.2749 ,0.7335,0.9661
1463,0 ,1 ,1819 ,5 ,0.0318 ,0.1732 ,0.8861,0.8736
1464,1 ,3 ,4238 ,10 ,0.1885 ,0.3485 ,0.6580,0.8270
1465,0 ,1 ,3952 ,9 ,0.3012 ,0.3041 ,0.8086,0.7108
1468,1 ,3 ,4146 ,6 ,0.0644 ,0.3333 ,0.6366,0.8131
