ID,JCODE,Easting,Northing,LPH,POPD,EMPD,EMP3D,AREA,S,seg
1,8201,54029.1508,41292.368,6.96,1.425,0.84,0.731,Ibaraki,184,1
2,8202,70243.2033,69620.6693,5.23,2.06,1.009,0.621,Ibaraki,97,1
3,8203,32224.4059,11260.6745,4.02,1.427,0.779,0.595,Ibaraki,101,1
4,8204,-5202.4863,19960.6159,4.75,1.278,0.54,0.333,Ibaraki,114,1
5,8205,34447.897,25470.1562,2.8,0.604,0.221,0.149,Ibaraki,136,1
6,8207,2762.4228,28982.9776,3.87,0.832,0.343,0.205,Ibaraki,63,1
7,8208,31866.3978,-8590.9885,4.25,1.161,0.404,0.29,Ibaraki,68,1
8,8210,11969.4046,20832.7324,2.4,0.6,0.276,0.177,Ibaraki,77,1
9,8211,11752.29,7117.2262,3.23,0.568,0.289,0.138,Ibaraki,117,1
10,8212,60084.3965,72155.7968,1.61,0.457,0.122,0.085,Ibaraki,131,1
11,8214,70362.4022,85600.4318,4.17,0.848,0.302,0.198,Ibaraki,39,1
12,8215,76181.9326,93538.2927,3.3,0.852,0.313,0.174,Ibaraki,58,1
13,8216,39136.2111,39635.5651,3.32,0.596,0.228,0.149,Ibaraki,137,1
14,8217,22332.6866,-9651.0391,5.74,1.654,0.544,0.404,Ibaraki,67,1
15,8219,31780.2449,-3086.7889,5.31,1.643,0.492,0.384,Ibaraki,47,1
16,8220,22346.2819,11685.0338,6.61,0.832,0.428,0.363,Ibaraki,241,1
17,8221,65004.8511,44159.0346,4.95,1.674,0.75,0.471,Ibaraki,92,1
18,8222,71517.7245,237.1707,2.49,0.833,0.37,0.249,Ibaraki,77,1
19,8223,65744.3667,-4392.8251,2.33,0.636,0.201,0.143,Ibaraki,50,1
20,8224,12830.0725,-5766.2273,9.16,1.616,0.582,0.433,Ibaraki,33,1
21,8225,45305.7471,68207.7854,1.11,0.364,0.142,0.086,Ibaraki,131,1
22,8226,57560.5729,52131.6705,3.12,0.668,0.217,0.159,Ibaraki,82,1
23,8227,13783.3492,32130.6685,3.25,0.577,0.237,0.144,Ibaraki,195,1
24,8228,4913.4973,7081.7041,2.97,0.52,0.211,0.118,Ibaraki,111,1
25,8229,47811.4195,-6237.5854,1.51,0.309,0.109,0.065,Ibaraki,161,1
26,8230,40514.2214,13678.0542,2.42,0.455,0.145,0.09,Ibaraki,98,1
27,8231,24630.407,36360.3506,2.77,0.46,0.156,0.086,Ibaraki,105,1
28,8232,79361.2313,-16156.0574,2.49,0.665,0.354,0.228,Ibaraki,138,1
29,8233,57813.3682,8269.8883,1.21,0.314,0.102,0.059,Ibaraki,128,1
30,8234,61757.1407,19651.2473,1.84,0.326,0.089,0.063,Ibaraki,156,1
31,8235,18458.6702,-1977.4835,3.75,0.552,0.218,0.145,Ibaraki,73,1
32,8236,47402.8802,22969.6125,1.95,0.451,0.194,0.115,Ibaraki,118,1
33,8302,53947.1926,31311.5054,3.25,0.362,0.113,0.079,Ibaraki,97,1
34,8309,64752.7101,33177.4859,4.6,1.084,0.548,0.437,Ibaraki,18,1
35,8310,42635.1599,53342.4466,1.13,0.365,0.087,0.057,Ibaraki,63,1
36,8341,66830.7207,51518.1403,5.57,1.16,0.581,0.483,Ibaraki,31,1
37,8364,45723.0532,88658.1736,1.31,0.321,0.115,0.076,Ibaraki,69,1
38,8442,43494.1846,1084.0871,1.61,0.627,0.267,0.188,Ibaraki,29,1
39,8443,35134.6489,1279.8756,3.48,0.904,0.331,0.221,Ibaraki,53,1
40,8447,40401.4328,-12883.9749,1.86,0.247,0.072,0.032,Ibaraki,44,1
41,8521,5421.4367,19763.7693,2.59,0.415,0.135,0.068,Ibaraki,57,1
42,8542,-7613.2911,11998.7745,3.1,0.432,0.33,0.115,Ibaraki,23,1
43,8546,-2035.0431,12225.1171,2.94,0.601,0.273,0.169,Ibaraki,44,1
44,8564,30215.3338,-14747.41,2.61,0.741,0.126,0.083,Ibaraki,24,1
45,9201,4177.7477,63765.6861,7.18,1.519,0.762,0.584,Tochigi,331,2
46,9202,-34135.2938,39929.1864,4.53,1.634,0.721,0.457,Tochigi,98,2
47,9203,-12506.1168,45613.6469,4.67,1.069,0.476,0.342,Tochigi,77,2
48,9204,-26671.4436,47084.153,4.11,0.92,0.434,0.273,Tochigi,135,2
49,9205,-17159.3697,63855.544,3.66,0.704,0.311,0.186,Tochigi,148,2
50,9206,-22426.1008,90965.2454,2.24,0.42,0.186,0.134,Tochigi,224,2
51,9208,-2847.158,34161.3816,4.91,0.967,0.451,0.307,Tochigi,166,2
52,9209,15550.787,49541.9331,4.17,0.659,0.34,0.18,Tochigi,101,2
53,9210,25473.3617,95576.8745,2.39,0.394,0.187,0.113,Tochigi,200,2
54,9211,5762.1754,91813.4338,3.7,0.492,0.214,0.135,Tochigi,73,2
55,9213,6879.1519,109918.7924,2.7,0.538,0.247,0.167,Tochigi,214,2
56,9214,15116.2582,80283.5427,3.08,0.415,0.166,0.105,Tochigi,100,2
57,9215,26872.8885,73571.1915,2.06,0.339,0.136,0.075,Tochigi,92,2
58,9216,2497.1781,44607.4461,5.44,0.83,0.304,0.218,Tochigi,71,2
59,9301,6922.1011,49412.6217,4.71,0.597,0.323,0.149,Tochigi,53,2
60,9321,-11225.3686,52211.4309,2.51,0.383,0.141,0.07,Tochigi,18,2
61,9341,12844.0942,42338.5038,3.33,0.324,0.096,0.053,Tochigi,51,2
62,9342,24782.1163,51083.0899,2.83,0.5,0.153,0.092,Tochigi,50,2
63,9343,31926.5604,57929.4901,2.7,0.27,0.083,0.06,Tochigi,61,2
64,9344,24272.3666,62037.4899,1.8,0.327,0.125,0.076,Tochigi,38,2
65,9345,18550.6301,61296.4763,4.09,0.263,0.348,0.257,Tochigi,62,2
66,9361,-2537.9588,50788.8092,4.79,0.714,0.264,0.174,Tochigi,56,2
67,9364,-8580.4854,25426.169,5.51,0.938,0.315,0.165,Tochigi,28,2
68,9365,-11062.5362,37254.188,3.9,0.831,0.328,0.159,Tochigi,35,2
69,9366,-14806.2834,29405.976,3.48,0.308,0.104,0.055,Tochigi,59,2
70,9367,-16254.5469,37210.8816,3.36,0.608,0.252,0.161,Tochigi,31,2
71,9368,-9688.644,48535.2602,3.12,0.54,0.164,0.077,Tochigi,25,2
72,9384,-1612.4178,88319.0957,1.53,0.214,0.065,0.031,Tochigi,63,2
73,9386,16407.2028,69935.6811,5.09,0.47,0.149,0.103,Tochigi,66,2
74,9407,23081.7893,115714.5243,1.28,0.175,0.09,0.069,Tochigi,153,2
75,9411,31270.0363,83715.5972,1.8,0.289,0.101,0.06,Tochigi,69,2
76,10201,-62974.016,46193.0785,5.95,1.561,0.808,0.629,Gunma,204,3
77,10202,-84338.7801,43668.2889,5.59,1.639,0.827,0.619,Gunma,207,3
78,10203,-47224.3077,53804.6011,3.64,1.654,0.693,0.437,Gunma,77,3
79,10204,-55252.7337,35824.3595,4.35,1.456,0.66,0.41,Gunma,139,3
80,10205,-44370.6163,34070.0276,4.15,1.275,0.713,0.421,Gunma,167,3
81,10206,-58086.4375,74976.3675,3.08,0.513,0.224,0.161,Gunma,104,3
82,10207,-26799.7225,27319.509,4.79,1.313,0.587,0.414,Gunma,61,3
83,10208,-73303.604,59041.8106,2.77,0.763,0.337,0.247,Gunma,115,3
84,10209,-75026.4337,21657.5792,2.73,0.908,0.382,0.228,Gunma,76,3
85,10210,-88712.558,29103.8961,2.34,0.696,0.331,0.195,Gunma,77,3
86,10211,-94867.8633,38336.5436,2.3,0.572,0.215,0.131,Gunma,111,3
87,10212,-43525.6616,58956.7263,2.42,1.264,0.487,0.329,Gunma,41,3
88,10303,-64336.1284,54930.4097,3.6,0.686,0.137,0.093,Gunma,33,3
89,10344,-78612.4063,49526.0422,3.13,0.919,0.291,0.176,Gunma,15,3
90,10345,-74932.4496,50252.0986,3.81,1.078,0.346,0.244,Gunma,17,3
91,10363,-76460.1903,28596.8625,3.27,0.663,0.223,0.138,Gunma,38,3
92,10366,-100251.7639,7814.909,0.61,0.12,0.048,0.033,Gunma,13,3
93,10367,-87077.6497,12841.0183,0.99,0.178,0.089,0.061,Gunma,16,3
94,10382,-99850.4564,25768.8174,2.43,0.368,0.149,0.084,Gunma,28,3
95,10383,-103267.3507,18562.0348,0.95,0.196,0.044,0.03,Gunma,15,3
96,10384,-83612.8384,23701.3131,2.32,0.506,0.189,0.08,Gunma,28,3
97,10421,-93171.4694,72189.0606,2.75,0.365,0.166,0.13,Gunma,48,3
98,10424,-108182.1538,56697.0665,1.16,0.174,0.089,0.072,Gunma,38,3
99,10425,-120012.6407,57936.3551,1.48,0.116,0.048,0.04,Gunma,94,3
100,10426,-112864.6706,69436.6687,3.8,0.39,0.285,0.267,Gunma,20,3
101,10427,-106588.0861,74371.562,0.79,0.078,0.022,0.017,Gunma,24,3
102,10428,-79807.4903,69391.5471,0.93,0.292,0.095,0.067,Gunma,15,3
103,10429,-93897.25,58934.6277,1.33,0.283,0.118,0.072,Gunma,60,3
104,10443,-51079.3338,93533.4524,1.07,0.143,0.066,0.05,Gunma,38,3
105,10444,-62861.7631,81334.7673,1.1,0.285,0.1,0.082,Gunma,15,3
106,10448,-65507.0873,68249.8951,1.7,0.198,0.048,0.027,Gunma,39,3
107,10449,-73908.0792,92674.0444,2.48,0.139,0.06,0.046,Gunma,167,3
