Easting,Northing,JCODE,lph2010
505271.739,130918.747,8201,35700
505283.324,130912.175,8201,41200
505326.248,130982.162,8201,18800
505336.375,130851.187,8201,16200
505431.627,131016.193,8201,55300
505484.233,130998.16,8201,45600
505485.59,131140.175,8201,20100
505488.603,130979.925,8201,82000
505491.694,130948.803,8201,54100
505499.016,130916.442,8201,34500
505509.48,131009.825,8201,48500
505511.373,130987.019,8201,59200
505522.839,130981.058,8201,50600
505529.973,130913.471,8201,46300
505537.728,131048.215,8201,44000
505545.071,130973.866,8201,51700
505545.905,130949.216,8201,62400
505566.098,131031.631,8201,45600
505582.096,130889.756,8201,50400
505587.08,130917.454,8201,50300
505591.676,130951.949,8201,58100
505595.399,130870.303,8201,67400
505596.648,131021.289,8201,55900
505597.325,131036.554,8201,58400
505601.905,130795.263,8201,57600
505605.565,130958.298,8201,62000
505623.91,130999.452,8201,60700
505626.197,130969.295,8201,68200
505626.329,130847.403,8201,55700
505626.418,131012.7,8201,72400
505629.484,130771.012,8201,31800
505631.202,130912.841,8201,77000
505637.545,130876.967,8201,63500
505650.634,130917.056,8201,65800
505653.088,130893.973,8201,65600
505656.277,130968.534,8201,117000
505669.058,130961.671,8201,123000
505669.481,130953.248,8201,121000
505669.827,130980.17,8201,85600
505672.343,130968.22,8201,108000
505674.618,130819.92,8201,51800
505679.016,130887.508,8201,59600
505693.375,130969.952,8201,75800
505693.954,130903.683,8201,69700
505700.447,130954.676,8201,113000
505701.496,130794.807,8201,31000
505721.216,130864.514,8201,56800
505752.981,130813.807,8201,67400
505753.6,130965.122,8201,33800
505757.255,130871.609,8201,43400
505767.156,130909.241,8201,64400
505767.877,130914.347,8201,71200
505768.28,130894.418,8201,54300
505777.439,130936.484,8201,55500
505797.54,130920.918,8201,57600
505807.913,130951.232,8201,45000
505911.777,130802.92,8201,33900
505948.04,130803.453,8201,20300
506098.057,131435.335,8202,21500
506179.644,131419.092,8202,47000
506193.327,131521.366,8202,44000
506201.23,131496.255,8202,43200
506204.143,131456.209,8202,43000
506204.559,131610.404,8202,36200
506227.532,131644.879,8202,42300
506232.936,131438.461,8202,55400
506233.22,131600.961,8202,49000
506243.115,131486.699,8202,44400
506246.087,131627.745,8202,48600
506253.945,131503.412,8202,43300
506256.007,131432.796,8202,49500
506258.046,131655.944,8202,43400
506259.823,131536.702,8202,48500
506260.523,131612.425,8202,60500
506264.323,131550.448,8202,44200
506267.826,131475.744,8202,43400
506283.425,131578.724,8202,47800
506292.735,131721.061,8202,41900
506301.634,131649.924,8202,47400
506312.856,131690.104,8202,46300
506315.595,131713.218,8202,49000
506317.929,131747.344,8202,51200
506325.018,131771.311,8202,46100
506334.879,131642.164,8202,46800
506341.75,131679.225,8202,46000
506351.791,131724.669,8202,64800
506361.621,131749.538,8202,67900
506361.698,131772.674,8202,53600
506361.876,131782.613,8202,51900
506377.857,131697.887,8202,47000
506392.223,131791.068,8202,42700
506395.355,131846.991,8202,43400
506403.366,131835.038,8202,45500
506404.843,131783.062,8202,48600
506427.693,131890.754,8202,49800
506435.338,131900.148,8202,48000
506438.861,131910.689,8202,42600
506453.289,131839.901,8202,44000
506463.164,132031.827,8202,33500
506464.191,131860.491,8202,43500
506464.763,132002.402,8202,46700
506490.87,132052.225,8202,26400
506536.122,132048.898,8202,9720
504530.213,130087.494,8203,12500
504531.579,129707.453,8203,36300
504554.858,130065.1,8203,26100
504557.019,130054.033,8203,31400
504573.124,129730.312,8203,35900
504581.873,129796.266,8203,17100
504600.944,129726.036,8203,45100
504607.73,129699.036,8203,46500
504608.141,129758.197,8203,32700
504636.917,129839.558,8203,39200
504648.194,129766.999,8203,32100
504665.794,129854.753,8203,36100
504681.843,130030.972,8203,13300
504690.548,129896.325,8203,47800
504694.138,129914.097,8203,46700
504694.666,129994.536,8203,32400
504702.062,129837.967,8203,35500
504707.475,129816.614,8203,42600
504712.894,129942.158,8203,32400
504719.271,129750.288,8203,33000
504723.367,129964.307,8203,39800
504727.235,129805.467,8203,37800
504727.431,129899.535,8203,46100
504727.518,129882.366,8203,74000
504728.41,129987.39,8203,35100
504728.718,129874.963,8203,53800
504740.876,129957.703,8203,39100
504742.368,129854.412,8203,45100
504745.308,129830.723,8203,34700
504755.329,129930.543,8203,43600
504765.677,129915.299,8203,44600
504782.497,129963.356,8203,39800
504809.588,130013.196,8203,26800
504840.912,130025.489,8203,40200
504843.523,130032.278,8203,39200
504889.282,130031.4,8203,56800
504895.216,130031.181,8203,44200
504981.605,129960.835,8203,14200
502928.963,130296.452,8204,56600
502929.762,130272.575,8204,49700
502931.456,130324.254,8204,48600
502943.967,130257.681,8204,54800
502955.608,130307.908,8204,76000
502956.713,130208.416,8204,40200
502963.701,130345.812,8204,48800
502964.335,130138.535,8204,30500
502965.95,130123.61,8204,30300
502973.634,130173.909,8204,40000
