KENCODE,PREF,COORD.X,COORD.Y
1,北海道,141.346944 ,43.064167 
2,青　森,140.740000 ,40.824444 
3,岩　手,141.152500 ,39.703611 
4,宮　城,140.871944 ,38.268889 
5,秋　田,140.103333 ,39.718056 
6,山　形,140.363333 ,38.240556 
7,福　島,140.467778 ,37.750000 
8,茨　城,140.446667 ,36.341389 
9,栃　木,139.883611 ,36.565833 
10,群　馬,139.060833 ,36.391111 
11,埼　玉,139.648889 ,35.856944 
12,千　葉,140.123333 ,35.604722 
13,東　京,139.691667 ,35.689444 
14,神奈川,139.642500 ,35.447778 
15,新　潟,139.023611 ,37.902222 
16,富　山,137.211389 ,36.695278 
17,石　川,136.625556 ,36.594444 
18,福　井,136.221944 ,36.065278 
19,山　梨,138.568333 ,35.663889 
20,長　野,138.181111 ,36.651389 
21,岐　阜,136.722222 ,35.391111 
22,静　岡,138.383056 ,34.976944 
23,愛　知,136.906667 ,35.180278 
24,三　重,136.508611 ,34.730278 
25,滋　賀,135.868333 ,35.004444 
26,京　都,135.755556 ,35.021389 
27,大　阪,135.520000 ,34.686389 
28,兵　庫,135.183056 ,34.691389 
29,奈　良,135.832778 ,34.685278 
30,和歌山,135.167500 ,34.226111 
31,鳥　取,134.238333 ,35.503611 
32,島　根,133.050556 ,35.472222 
33,岡　山,133.935000 ,34.661667 
34,広　島,132.459444 ,34.396389 
35,山　口,131.471389 ,34.185833 
36,徳　島,134.559444 ,34.065833 
37,香　川,134.043333 ,34.340278 
38,愛　媛,132.766111 ,33.841667 
39,高　知,133.531111 ,33.559722 
40,福　岡,130.418056 ,33.606389 
41,佐　賀,130.298889 ,33.249444 
42,長　崎,129.873611 ,32.744722 
43,熊　本,130.741667 ,32.789722 
44,大　分,131.612500 ,33.238056 
45,宮　崎,131.423889 ,31.911111 
46,鹿児島,130.558056 ,31.560278 
47,沖　縄,127.681111 ,26.212500 
