KENCODE,PREF,X,Y
1,Hokkaido,141.346944 ,43.064167 
2,Aomori,140.740000 ,40.824444 
3,Iwate,141.152500 ,39.703611 
4,Miyagi,140.871944 ,38.268889 
5,Akita,140.103333 ,39.718056 
6,Yamagata,140.363333 ,38.240556 
7,Fukushima,140.467778 ,37.750000 
8,Ibaragi,140.446667 ,36.341389 
9,Tochigi,139.883611 ,36.565833 
10,Gunma,139.060833 ,36.391111 
11,Saitama,139.648889 ,35.856944 
12,Chiba,140.123333 ,35.604722 
13,Tokyo,139.691667 ,35.689444 
14,Kanagawa,139.642500 ,35.447778 
15,Niigata,139.023611 ,37.902222 
16,Toyama,137.211389 ,36.695278 
17,Ishikawa,136.625556 ,36.594444 
18,Fukui,136.221944 ,36.065278 
19,Yamanashi,138.568333 ,35.663889 
20,Nagano,138.181111 ,36.651389 
21,Gifu,136.722222 ,35.391111 
22,Sizuoka,138.383056 ,34.976944 
23,Aichi,136.906667 ,35.180278 
24,Mie,136.508611 ,34.730278 
25,Shiga,135.868333 ,35.004444 
26,Kyoto,135.755556 ,35.021389 
27,Osaka,135.520000 ,34.686389 
28,Hyoko,135.183056 ,34.691389 
29,Nara,135.832778 ,34.685278 
30,Wakayama,135.167500 ,34.226111 
31,Tottori,134.238333 ,35.503611 
32,Shimane,133.050556 ,35.472222 
33,Okayama,133.935000 ,34.661667 
34,Hiroshima,132.459444 ,34.396389 
35,Yamaguchi,131.471389 ,34.185833 
36,Tokushima,134.559444 ,34.065833 
37,Kagawa,134.043333 ,34.340278 
38,Ehime,132.766111 ,33.841667 
39,Kochi,133.531111 ,33.559722 
40,Fukuoka,130.418056 ,33.606389 
41,Saga,130.298889 ,33.249444 
42,Nagasaki,129.873611 ,32.744722 
43,Kumamoto,130.741667 ,32.789722 
44,Oita,131.612500 ,33.238056 
45,Miyazaki,131.423889 ,31.911111 
46,Kagoshima,130.558056 ,31.560278 
47,Okinawa,127.681111 ,26.212500 
