"ID","X","Y","Z","SPM07"
"1",11105510,-19537.863546,-13230.3544669,10,0.059
"2",11110010,-9601.91104485,-9579.36820831,10.8,0.065
"3",11110510,-13806.4148124,-4920.17158432,7.7,0.06
"4",11201030,-31347.072139,-12117.6553721,15,0.072
"5",11201040,-31257.0895456,-7957.41515008,15,0.056
"6",11201050,-36700.2436094,-8861.00295244,28,0.066
"7",11201510,-30738.8659894,-10301.480811,12,0.068
"8",11202040,-40119.1006072,16457.0901225,30,0.056
"9",11202510,-39461.2599622,18210.8674487,25,0.072
"10",11203020,-9890.81799856,-21320.7834976,2,0.073
"11",11203030,-11774.6518923,-22119.7437408,1,0.067
"12",11203040,-7456.78443479,-22525.0669925,3,0.066
"13",11203050,-6198.9062833,-18920.3399577,16,0.062
"14",11203060,-13275.5969103,-18511.9115646,5,0.06
"15",11203510,-7377.34424442,-17594.2587293,9,0.067
"16",11203520,-13575.2748044,-17556.0945699,5,0.067
"17",11203530,-9207.75628868,-16267.3626079,15,0.068
"18",11204010,-16933.3086336,-15238.9297806,14,0.072
"19",11204030,-19917.0578823,-14554.7007685,10,0.066
"20",11204040,-15181.6495791,-17800.027796,5,0.062
"21",11204050,-15100.1020249,-14132.7948603,8,0.067
"22",11204520,-18369.1239313,-18071.3429988,4,0.075
"23",11204530,-15785.6061468,-18754.3327115,5,0.069
"24",11205020,-20422.4835189,-5338.77215503,14,0.067
"25",11205030,-15262.7134609,-6643.61620655,17,0.068
"26",11205040,-23538.3555234,-8566.97313983,13,0.051
"27",11205050,-14391.7360835,-10435.7688793,11,0.06
"28",11205120,-18277.9512401,-10397.7514063,10,0.068
"29",11205530,-21610.4977312,-9527.29125991,10,0.059
"30",11205540,-16942.4564905,-6948.73249022,13,0.057
"31",11206020,-32773.032946,15655.9536022,20,0.064
"32",11207010,-67877.2716344,-1063.1816253,230,0.058
"33",11208010,-33919.9917493,-22555.6856626,80,0.056
"34",11208060,-28393.5941851,-21712.2203154,50,0.071
"35",11208070,-35581.7944127,-23720.2662255,100,0.055
"36",11208080,-31627.8435929,-20499.3350933,59,0.074
"37",11208520,-32715.1795784,-22652.6743217,66,0.066
"38",11208530,-38334.368411,-21489.837485,103,0.075
"39",11209010,-45762.1847648,-15999.5524347,120,0.051
"40",11210010,-22577.0438651,14298.4244835,15,0.073
"41",11211010,-56826.7452614,26535.9892209,5,0.075
"42",11212020,-37649.6543809,3594.10337628,16,0.062
"43",11213010,-11927.9754814,-5539.29199433,10,0.075
"44",11214030,-7916.3756972,-3109.13638511,5,0.063
"45",11215010,-34721.0636441,-15556.7416263,50,0.06
"46",11216010,-24962.7401025,19390.2083725,15,0.062
"47",11217010,-28125.0211271,7318.40555688,14,0.071
"48",11217510,-28301.6657182,6856.67884897,20,0.069
"49",11218010,-49817.7900562,20883.5935486,55,0.07
"50",11219020,-23647.4643257,-2526.17182641,15,0.068
"51",11221050,-3413.15767231,-18921.8539349,3,0.06
"52",11221510,-3964.8249381,-17873.8105588,5,0.064
"53",11221520,-5369.45518516,-16856.0721777,5,0.068
"54",11222020,-3435.36641794,-11494.667193,5,0.075
"55",11224010,-14482.7594676,-20081.7395693,5,0.066
"56",11224020,-12928.2645157,-21255.2323525,5,0.066
"57",11224510,-17218.1965446,-19830.2938667,5,0.068
"58",11224520,-16644.3281973,-21649.6579264,3.4,0.067
"59",11225010,-39551.810958,-18649.1490651,105,0.062
"60",11225510,-40982.3170753,-18642.634816,92,0.067
"61",11226020,-8005.65153035,-18672.3438117,10,0.061
"62",11226510,-8633.80183357,-19442.2039552,5,0.07
"63",11227510,-22146.6383704,-23394.2321365,35,0.061
"64",11229010,-19512.8421469,-24633.1452961,35,0.064
"65",11229510,-19633.5575242,-22444.8013966,20,0.071
"66",11230070,-25112.5372673,-24434.1353695,40,0.071
"67",11232010,-15488.9246822,7194.51556685,10,0.076
"68",11232510,-15111.5647444,8364.99301275,10,0.071
"69",11234010,527.07939603,-19662.1274024,2,0.066
"70",11235010,-25665.2615191,-15865.0613463,10,0.057
"71",11237020,4340.92629946,-17257.2733154,5,0.063
"72",11238010,-16204.9661479,-1156.18118328,15,0.063
"73",11239010,-38981.4491959,-3180.42771882,25,0.068
"74",11240010,-9157.06904067,8295.10938442,8,0.069
"75",11241510,-39126.1571674,-7556.15422018,38,0.063
"76",11326010,-47240.6057778,-6283.58762663,80,0.047
"77",11329010,-44235.3747906,-11723.4403136,75,0.058
"78",11343010,-51624.1925078,6901.33500365,90,0.057
"79",11344010,-58046.3115363,746.480518617,900,0.049
"80",11382010,-62907.053903,21307.1654179,98,0.059
"81",11403010,-40654.812072,24873.6380128,28,0.069
"82",11408010,-58265.4503459,12983.9244528,100,0.052
"83",11421010,-24591.0759439,9372.69360927,13,0.065
"84",12105010,30798.9606638,-49378.5255652,23,0.056
"85",12201010,23982.9996246,-33929.1591029,29,0.066
"86",12201020,21204.2736062,-38867.0132465,13,0.071
"87",12201030,25735.895495,-40241.8488653,28,0.078
"88",12201040,28040.66654,-37153.138208,27,0.072
"89",12201050,23944.6702036,-38366.9847499,21,0.066
"90",12201060,29465.0950041,-42017.7038546,26,0.057
"91",12201070,31562.8535549,-44630.0016826,34,0.059
"92",12201080,29134.1486364,-48552.0491676,26,0.064
"93",12201090,31726.6414027,-41147.0484334,33,0.069
"94",12201120,26101.272568,-44740.1083697,3,0.067
"95",12201130,26629.9326767,-44769.3630723,4,0.062
"96",12201140,28973.7654481,-45686.5743241,30,0.065
"97",12201150,27618.3461916,-46954.3764006,12,0.059
"98",12201160,26785.0272698,-46124.8538036,3,0.063
"99",12201170,26493.2735645,-49608.0512157,3,0.066
"100",12201180,26965.1511346,-47418.6303865,3,0.062
"101",12201200,24864.5039821,-43510.9551356,3,0.064
"102",12201250,27581.540451,-43194.7904972,5,0.068
"103",12201260,38767.6900185,-51843.7044079,72,0.058
"104",12201300,25760.6091411,-40087.6903838,22,0.075
"105",12201320,21384.4874609,-40592.3494297,4,0.063
"106",12201520,25971.2024863,-43292.0798282,3,0.074
"107",12201540,23968.5792557,-37904.6586572,19,0.062
"108",12201550,21154.8415446,-39236.9382019,3,0.065
"109",12201560,17630.0551152,-37642.1177848,4,0.078
"110",12201570,21104.829902,-39360.3259617,3,0.067
"111",12202020,80019.825057,-22474.8014889,11,0.045
"112",12202080,89405.7840479,-29381.6489375,6,0.074
"113",12203020,8170.38581656,-34050.2148619,12.5,0.068
"114",12203030,6960.78657671,-30353.1571114,2,0.074
"115",12203040,11186.6380133,-33646.3045648,4,0.081
"116",12203080,10953.0886116,-27729.6340912,24.2,0.071
"117",12203110,8518.85366711,-30413.4340848,4.3,0.063
"118",12203510,6558.28184421,-29767.9309775,4.9,0.085
"119",12203520,7517.3822107,-34790.4067544,0.6,0.059
"120",12203530,10780.4971707,-30410.9755596,19.1,0.071
"121",12204040,14697.1555891,-28278.9383512,26,0.056
"122",12204050,15906.8395594,-30372.4518545,23,0.09
"123",12204060,18896.5671273,-30058.414007,26,0.066
"124",12204070,17245.3316511,-33790.6997046,18,0.067
"125",12204100,20597.8601535,-26849.5789696,27,0.064
"126",12204110,11385.3043294,-31735.3723297,7,0.068
"127",12204140,14533.7967315,-35921.9466705,3,0.062
"128",12204150,13021.7080863,-33612.9884862,3,0.074
"129",12204520,12970.9863496,-33304.8883339,3,0.059
"130",12204530,13224.2350914,-34568.0281607,2,0.068
"131",12205030,4283.91623206,-108534.189826,10,0.058
"132",12206010,8327.89499867,-68256.4229002,1,0.067
"133",12206030,6028.70263138,-64221.3864031,2,0.074
"134",12206070,10675.3940573,-68716.1772358,37,0.067
"135",12206080,6337.59331454,-73003.6521231,31,0.062
"136",12206140,21278.3049639,-70053.2360494,45,0.061
"137",12206520,9515.26539335,-69457.0575579,9,0.068
"138",12206530,11807.1875409,-65756.442929,8,0.062
"139",12207010,6277.4965883,-23573.786943,16,0.045
"140",12207020,11675.5733446,-23136.8657662,25,0.057
"141",12207030,8583.8136326,-19657.9781056,25,0.058
"142",12207520,7155.22327857,-22186.318933,7,0.062
"143",12208010,2931.95440705,-5793.43246322,13,0.077
"144",12208510,3883.90541972,-5084.23565486,17.3,0.076
"145",12209010,64954.0420705,-12273.2822842,19,0.076
"146",12209030,62184.7518849,-7238.64800063,1,0.053
"147",12210010,41084.4089595,-62650.1866776,12,0.057
"148",12211020,47118.9731474,-25792.9154366,40,0.067
"149",12211030,46852.6148339,-18182.0092114,38,0.06
"150",12211040,41865.467135,-24956.3628882,25,0.064
"151",12211510,44123.4651439,-24483.125094,25,0.062
"152",12212040,33747.9854609,-30137.6429562,25,0.069
"153",12212520,34721.7858704,-34972.3198991,20,0.068
"154",12213010,48829.8716087,-49236.5247821,7,0.068
"155",12214010,67376.8663734,-30747.3967098,46,0.082
"156",12216010,18001.6829221,-34867.8105582,18,0.064
"157",12216020,21696.1428029,-34274.0296781,28,0.06
"158",12216060,15312.2823755,-35335.1105181,2,0.067
"159",12216510,16068.9182234,-36628.1040858,4,0.071
"160",12217010,12668.3076602,-15030.3494967,22,0.06
"161",12217020,12546.11578,-17311.0703311,21,0.074
"162",12217030,11759.9215129,-11056.0395487,19,0.064
"163",12217520,7297.10352058,-11584.7727491,19,0.068
"164",12218010,39366.7710445,-90977.9652943,100,0.057
"165",12219010,26372.8097569,-51457.4232161,4,0.068
"166",12219030,23279.1340135,-53222.5693251,4,0.055
"167",12219060,19585.7436636,-57853.8963658,7,0.056
"168",12219090,22103.918834,-56831.0923303,5,0.072
