ID,X,Y,Z,SPM07
11105510,139.6169444,35.88055556,10,0.059
11110010,139.7269444,35.91361111,10.8,0.065
11110510,139.6802778,35.95555556,7.7,0.06
11201030,139.4861111,35.89027778,15,0.072
11201040,139.4869444,35.92777778,15,0.056
11201050,139.4266667,35.91944444,28,0.066
11201510,139.4927778,35.90666667,12,0.068
11202040,139.3875,36.1475,30,0.056
11202510,139.3947222,36.16333333,25,0.072
11203020,139.7238889,35.80777778,2,0.073
11203030,139.7030556,35.80055556,1,0.067
11203040,139.7508333,35.79694444,3,0.066
11203050,139.7647222,35.82944444,16,0.062
11203060,139.6863889,35.83305556,5,0.06
11203510,139.7516667,35.84138889,9,0.067
11203520,139.6830556,35.84166667,5,0.067
11203530,139.7313889,35.85333333,15,0.068
11204010,139.6458333,35.8625,14,0.072
11204030,139.6127778,35.86861111,10,0.066
11204040,139.6652778,35.83944444,5,0.062
11204050,139.6661111,35.8725,8,0.067
11204520,139.63,35.83694444,4,0.075
11204530,139.6586111,35.83083333,5,0.069
11205020,139.6069444,35.95166667,14,0.067
11205030,139.6641667,35.94,17,0.068
11205040,139.5725,35.9225,13,0.051
11205050,139.6738889,35.90583333,11,0.06
11205120,139.6308333,35.90611111,10,0.068
11205530,139.5938889,35.91388889,10,0.059
11205540,139.6455556,35.93722222,13,0.057
11206020,139.4691667,36.14055556,20,0.064
11207010,139.0805556,35.98805556,230,0.058
11208010,139.4580556,35.79611111,80,0.056
11208060,139.5191667,35.80388889,50,0.071
11208070,139.4397222,35.78555556,100,0.055
11208080,139.4833333,35.81472222,59,0.074
11208520,139.4713889,35.79527778,66,0.066
11208530,139.4091667,35.80555556,103,0.075
11209010,139.3266667,35.85472222,120,0.051
11210010,139.5825,36.12861111,15,0.073
11211010,139.2011111,36.2375,5,0.075
11212020,139.4155556,36.03166667,16,0.062
11213010,139.7011111,35.95,10,0.075
11214030,139.7455556,35.97194444,5,0.063
11215010,139.4488889,35.85916667,50,0.06
11216010,139.5558333,36.17444444,15,0.062
11217010,139.5211111,36.06555556,14,0.071
11217510,139.5191667,36.06138889,20,0.069
11218010,139.2794444,36.18694444,55,0.07
11219020,139.5711111,35.97694444,15,0.068
11221050,139.7955556,35.82944444,3,0.06
11221510,139.7894444,35.83888889,5,0.064
11221520,139.7738889,35.84805556,5,0.068
11222020,139.7952778,35.89638889,5,0.075
11224010,139.6730556,35.81888889,5,0.066
11224020,139.6902778,35.80833333,5,0.066
11224510,139.6427778,35.82111111,5,0.068
11224520,139.6491667,35.80472222,3.4,0.067
11225010,139.3955556,35.83111111,105,0.062
11225510,139.3797222,35.83111111,92,0.067
11226020,139.7447222,35.83166667,10,0.061
